'Hi I&rsquo;m a Kara enthusiast'
'ai puse velnio ;D kablys patiko jei zinai, kiti sudas'
'daug buvus Vilniuj siaip?'
'kuris miestas patinka labiau? &colon;D'
'mokeisi Kaune irgi?'
'kur cia prikeliavus siaip'
'nu hmm man tiesiog atsibostu tam paciam mieste gyvent gal &colon;D patinka judet man'
'&colon;DDD idomiai kaip'
'kiek teko girdet, tai ten daug nuo sekmes priklauso kur pakliusi'
'ir labai gali skirtis darbo sunkumas&sol;uzdarbis'
'o tai neismeta is salies jei nesusirandi darbo per kazkiek laiko? &colon;D as kazka tokio girdejes'
'o antra karta verta varyt? nes visos vietos kaip ir isvazinetos buna jau per pirma kelione gal'
'aisku aisku, nu jo korona visiem planus sugriove &colon;D turejau Londone but sia vasara o po to keliaut daug bet va kaip gavosi'
'kably tenka savaitgalius leist'
'dabar pasikeles klausimas is oro toks'
'nes as matau daug profiliu su tuo paciu universitetu ir tikrai netikiu kad rimtai ten'
'taip ir galvojau &colon;Dd'
'as rimtai mokysiuosi ten 😀'
'cia nenorejau pasigirt, tiesiog idomu buvo suzinot &colon;d'
'nes niekas cia apie tai nera paklauses, kas buvo itartina &colon;D'
'&colon;Dd kodel heitina taip zmones, idomus dalykas'
'o kas patiko mokykloj tada? &colon;D'
'o kas patiko mokykloj tada? &colon;D'
'sunkele nukritus ant grindu, susitvarkyk'
'bet kodel paskutinej nuotraukoj nepilnametis nesa alu?? pazeidineja istatyma'
'o blemba 2016 as taip atrodziau'
'gera kiesos kepuryte vaiko, noreciau tokios'
'bauda konkreti'
'cia sitaip Vilniuj snekat ane'
'tai ka veiki Vilniuj, jei is Klaipedos'
'is Panevezio siaip, bet Vilniuj iki Spalio vidurio'
'dirbu nuotoliniu budu dar 2 savaites'
'menu vaiba skleidi toki, nebuciau atspejes'
'kaip mokslai kaip gyvenimas'
'tai jau prisivaibinai neblogai jauciu'
'as as vakar jammi kebaba valgiau bet vegetariska pasiemiau netycia tai sugadino diena'
'bet siaip liuks irgi'
'zinai ta jausma kai pasako kazka pardaveja o tu nesupranti ka pasake bet atsakai taip nes tingi klaust'
'tai va taip buvo'
'parodyk kur geriau tada'
'davai pastatau'
'nemeluosiu, is google istraukiau sita'
'aciu, kad paklausei, Oxforde mokausi!!!'
'jau sunkiai kentejau siandien niekam nepasakes'
'ka pati gyvenime veiki?'
'siaip geros muzikos klausai, radiohead patinka man'
'tame impala ziuru irgi klausai, geras pasirinkimas &colon;d'
'as playlistu nesikuriu kazkaip, albumais klausau labiau'
'o del magistru tai hm, nezinau ar brexitas nesujauks tavo planu, nes i Anglija nebeiseis stot nuo kitu metu, bet Skotijos situacija nesidomejau'
'as nuo spalio pradedu is tikro, matematikos magistra studijuosiu &colon;D'
'i bakalaura neistojau ten, susivariau per interviu &colon;&sol; bet svajone buvo istot, stengiausi 3 metus bakalaure ir isejo'
'bakalaura university of bristol baigiau jei teko girdet'
'&colon;DDd prasau nebestumti sitaip, nenusipelniau as'
'siaip uzsieny nera taip ispudinga tai, daug kas istoja, tai ir zmones taip nesididziuoja gal'
'o siaip tai is Panevezio as &colon;&rpar; tai ant licejaus kartu stumti galime'
'o siaip del studentu is zinomu universitetu, tai gal ne ant tokiu pataikei, mano gan priesinga patirtis &colon;D paprasti zmones labai, kiek teko sneket'
'ir siaip ka supratau, kad nera ten nieko stebuklingo, zmones per daug aukstina tuos universitetus'
'tiesiog gal zmones labiau motyvuoti susirenka ir geresne darbo aplinka'
'o del Marijampoles, tai juokingas akcentas jusu &colon;&rpar;&rpar; tiek zinau apie si miesta'
'ir siaip jei reiktu kazka samdyt ir zmogus butu is to pacio universiteto, tai kad ir pasamoningai ji labiau samdyt noretusi'
'gal suvilnejai jau, tai nebesigirdi &colon;D as panevezietisko akcento atsikraciau aciu dievui'
'jau dabar zinau atveji, kai drauga idarbino, nes vadovas buvo ta pacia  gimnazija pabaiges &colon;D'
'dirbu nuotoliniu budu dabar &colon;D varvinu akis prie kompiuterio visa diena'
'galvojau paziuret kaip cia Vilniuj gyvenasi, tai patiko, galvoju iki spalio 15 but'
'o ka pati Vilniuj ne studiju metu veiki?'
'kuo Vilnius patinka taip?'
'nu joo del darbu sunkoka tikrai, mano draugu panasi patirtis'
'man patinka visai, kad cia toks geras misinys tarp didmiescio ir mazesnio miesto, gali rast ir gamtos, ir veiksmo'
'o panevezys tai man depresija varo &colon;D tai suprantu situo aspektu'
'yrayra kalejimas, matydavau ji pro mokyklos langa &colon;D'
'tai reiks lankyt'
'siaip priminei, atskleisiu didziule paslapti, kuri viska pakeis tavo gyvenime'
'Panevezio cukrus gaminamas ne Panevezyje'
'zmones nebepirktu, Panevezys per daug autoriteto turi'
'mano mociute sako, kad Panevezio cukrus geresnis buvo, kai Penevezy gamino, tai pasitikiu ja'
'ar gmo reikia naikint ar ne'
'Spunkoj trecias gerai eina girdejau'
'siulyk varianta'
'bus padaryta'
'grazus mociutes megztinis'
'pagamink sriubytes ka, noriu valgyt, woltas brangus'
'prasau pateikti budus, del sriubytes padarysiu viska'
'arba tete, as neisrankus'
'ne nu ziauru, suniukas lieka'
'blemba zinok is wolto gyvenau 3 savaites, geda prisipazint'
'laiko nebuvo'
'ka pati gyvenime veiki?'
'ai anglijoj &colon;D matematika mokiausi'
'o dabar kur studijuosiu tai bio parasyta &colon;d'
'gal susitikt kada siaip? nelabai laiko zinutes atrasinet turiu dabar &colon;D'
'university of bristol studijavau jei kazkur girdejai netycia &colon;D dabar oxforde'
'kuria prasme klausi kaip reikalai?'
'ka gal reiskia? &colon;D'
'rimtai &colon;D top 10 universiteruose gera tikrai, nes zmones motyvuoti'
'o kitur labai zema gali but ir tikrai neverta kainos'
'ketvirtadieni gal laiko turi? &colon;D as po 20h kazkur laisvas'
'as dirbu iki 8 anksciausiai darbo dienom &colon;&sol;'
'savaitgali kazka su seima veiksiu man rodos'
'patycios - silpno zmogaus bruozas, kaip sake Paulo Cohelo'
'o as ne toks'
'nenoriu girtis, bet mokykloj turejau 9 uz fizika'
'ka gyvenime siaip'
'verkiau siandien, kiek tasku gaunu?'
'laimejau gyvenima jau'
'einu mamai pasakyt, kad nebegalvotu, kad gejus'
'priims atgal i seima gal'
'graziai rengiesi siaip, rimtesne gaida jeigu'
'joo!! sake as antras megstamiausias sunus dabar'
'iklijuos atgal i seimos albuma'
'tai kaip gyvenimas?'
'kur sedi? tolokai nuo Vilniaus ziuriu'
'ai gerai man, Vilnius jega'
'ka Vilniuj? einam susituokt'
'tu gi logiskai pagalvok'
'kokios grazios nuotraukos baznycioj butu!!'
'oook bandysiu gimines palaiminima gaut, be jo niekaip'
'nu blemba jei feisbuke daug laiku surinktu tai aisku palikciau'
'blemba gerai bus, virtuvej nebereiks but paciam'
'blemba gerai bus, virtuvej nebereiks but paciam'
'jokiu man cia atsikalbinejimu'
'prasau nepalik tik kol vestuviu nuotrauku nepasidarem'
'kada planuoji Vilniuj but? kad zinociau kada baznycia uzpirkt'
'prie sporto tokia biski ziuriu??'
'prie knygutes labiau &colon;&sol;&sol; minejau, kur studijuoju pala??'
'prasau paklausk, siandien dar nesakiau niekam'
'Oxforde studijuoju!! iskart geriau pasidare'
'o tu ka gyvenime veiki?'
'o, geras, nebaisus virusas? 😀'
'mokykloj sokiu pamokas turejau pora metu, patiko.visai &colon;D bet neatsimenu nieko deja'
'galvoju kad 5g bokstus reikia griauti kad susitvarkytu viskas'
'ir apskritai bilas geitsas uz sita atsakingas, nori mus visus privalomai paskiepyt'
'ziauru nuu, Kiguolis buvo teisus'
'jei rimtai tai gaila, kad taip atsitiko, sugadino vasaros planus visus virusas &colon;D bet cia visiem manau'
'tai sakai genetika studijuoji'
'isvardink visus mano genus'
'gali pirmus 15 tukst kaip pradziai'
'tai kaip gyvenimas'
'graziai rengiesi'
'is UK tu gal?'
'kul plaukai'
'paaiskink bio plz, ka nori pasakyt'
'tai kaip gyvenimas??'
'omg kaip kelis??? ar viskas gerai'
'speju savanoriavai afrikoj per gap yeara ir nu totaliai &quot;atradai save&quot;?'
'butum savanoriavusi, butum tikrai atradusi'
'kur keliavai?'
'nu jo, cia gal vienas is tu dalyku kur atrodo laimingesnis buvai nezinojes, kad tokie dalykai vyko pasauly'
'panasus sentimentai Vilniaus genocido auku muzieju pamacius buvo'
'kur dar idomaus esi keliavus?'
'as planavau keliaut rugseji visa po azija vienas, bet rip planam del pamdemijos &colon;&sol;&sol;'
'oho kiek apkeliavus &colon;D pavydas'
'&colon;Ddd blogiau nebent galejo  but kad iskeliauji pries pandemija ir bekeliaujant uzsidaro sienos ir tu kokiose seiseliu salose istriges'
'as daug nesu buves, buvau Zuriche, Paryzius labai patiko ir aisku Anglijoj nemazai, gyvenau 2 praeitas vasaras Londone'
'siaip kul dalykas yra baltas zemelapis kuriam spalvini salis kurias esi aplankes &colon;D'
'ziauriai faina, mus mokykla tai nebent vezdavo su ekskursija i Vilniaus akropoli &colon;dd &lpar;is Panevezio as&rpar;'
'Praktikas dariau londone, ziauriai patiko gyvent ten, architektura, zmones, vaibas miesto'
'ziauriai daug 15'
'nuvertina gal uk, nes kiekvieno bent 5 gimines gyvena ten, tai nebeatrodo kazkas ispudingo'
'hmm gal priklauso kuriam mieste, Londonas gal tik toks multikulturis'
'man Paryziuj zmones kaip tik nepatiko kazkaip &colon;D atrodo labai pasikele'
'bet kitur Pranzuzijoj nesu buves, tai negaliu pasakyt'
'Anglu universitetai sakyciai gan autentiski, toks senoves-hario poterio ispudis &colon;D nezinau ar kur kitur taip rasi'
'galbut ir as susizavesiu'
'apskritai senove zavi mane labai, tai manau italija tikrai patikt turetu'
'sudominai tikrai tada'
'maistas tai geriausias pasauly, bent mano nuomone'
'pazinojau kas Turine studijavo architektura, tai tik geri atsiliepimai'
'ai joo reikejo egzo'
'siaip negirdejau kad Italijoj brangus mokslas tai nezinau'
'kodel psichologija butent? ziauriai kul siaip'
'nu joo geras variantas irgi'
'belenkaip neprotinga yra stot ten kur galvoji kad praktiska tipo bet labai neidomu'
'bent is mano draugu rato patirties'
'i menus jauciu belenkaip sunku istot tik'
'ne kiekvienam bet man ziauriai idomu ir geriausias pasirinkimas gyvenime buvo tai studijuot'
'ir labai dziaugiuosi kad isvariau studuot i anglija, pakeite poziuri i daug ka'
'bet gal tas pats butu jei Lietuvoj isvarai i mainu programa'
'&colon;Dd nu joo kirvis matke daug kam'
'matematikam lietuviu kalba lievai dazniausiai &colon;D'
'3 kursus baigiau bakalauro &lpar;anksciau i mokykla pradejau eit nei visi&rpar;'
'ir nuo spalio magistra pradedu'
'siaip supratau kad Vilnius ziauriai gerai yra, iki mokslu gyvensiu cia manau'
'planas yra finansuose dirbt matematiku &colon;D'
'padirbt kokius 5 metus, uzsidirbt daug pinigu ir tada veikt kazka prasmingesnio'
'Australija labai noreciau aplankyt'
'vaikystej maciai filma Australija ir kazkaip labai isliko ispudis, nezinau kodel &colon;D'
'&colon;dd man psichologija irgi sunkiai sektusi manau'
'joo tiesa, bet as manau Vilnius visai gera balansa turi, miestas kur turi visus patogumus bet dar nera per daug apkrautas kaip koks Niujorkas tarkim'
'man zmones ziauriai faini is ten atrodo'
'ir siaip viskas labai kitaip nei cia, visai kitokia kultura'
'buvo mano butiokas kinietis siais metais, tai supratau kaip skaniai gamina jie &colon;D'
'laimingi patys is saves'
'ir nesivaiko tiek materialiu dalyku gal'
'mano dede gyvena vienkiemy daug metu, tai kai buvau mazas vasaras leisdavau pas ji'
'ziauriai geri atsiminimai'
'kai aplinkui vien gamta ir jokiu zmoniu'
'&colon;ddd nu jo as ir pats sau pavydeciau jei Vietname'
'tiesaa del Italijos, cia gal bendras pietieciu bruozas tas atsipalaidavimas, ko mum truksta labai'
'cia manau is amerikieciu kulturos ateje tie dalykai kad visada turi dirbt ir kalt pinigus kad butum laimingas'
'joo is tikruju &colon;D nepatiko labai ta knyga'
'apskritai visai atbaide nuo skaitymo Lietuviu pamokos , labai daug neidomu knygu'
'bet per karantina sugalvojau pradet skaityt ir supratau kad labai gerai tai yra &colon;D'
'man gilus filmai patinka labai ;D gaila laiko ziuret lievus ar vidutinius filmus kazkaip'
'vieni geriausiu'
'dar parasite is paskutiniu matytu ziauuriai patiko'
'tik trumeno sau mates, ziauriai geras tikrai'
'joo atsiusk butinai'
'as anksciau rinkdavausi is imdb top 250 tiesiog &colon;D'
'patinka joo, bet reikia geros progos'
'ziauriai padare ispudi kai maciau, bet tikrai nebenoriu matyt dar karta &colon;D'
'siaip geru filmu yra per daug &colon;D juos gamina greiciau nei as speju ziuret'
'sarasa atsiusk tiesiog &colon;&rpar;'
'ir jei chernobyl skaitosi'
'joo, bet baisus toks'
'po kiekvienos serijos atrodo kad taip grynai jau bus po 50 metu &colon;D'
'matei gal ta serija per netflix kur pats darai pasirinkimus? ziauriai kul ideja'
'blm ofisa ne karta rekomendavo &colon;D tai reiktu tikrai paziuret'
'o kaip surandi kokius serialus ziuret?'
'as ziuriu nebent jei patikima rekomendacija &colon;d'
'kai mazas buvau tai galvodavau kad serialai vien telemundo presenta buna&colon;d neigiama nuomone buvo'
'bet pasikeite suvokimas su laiku'
'ka siaip veiki laisvalaikiu dar?'
'as atrradau muzikos klausyma visai neseniai, siaip stalo tenisa treniruojuosi nuo 4 klases, dalyvaudavau turnyruose'
'kokia kalba noretum?'
'as ziauriai neturiu muzikos talento bet labai gerbiu zmones kurie moka gerai grot &colon;D suprantu kaip sunku tai yra'
'o, geras &colon;D gal zinai siaip Vilniuj kokia mokykla kuri turetu lauko aikste? norejom pazaist su draugu cia, turi tinkla jis &colon;d'
'as prancuzu mokiausi mokykloj, bet buvau durnius ir nesimokiau nieko'
'ohoo &colon;D sokiai irgi vienas is tu dalyku kur mokancius zmones labai gerbiu nes pats niekaip taip nepadaryciau'
'bet blemba kai mokaisi kalba budamas mazesnis reikia daug maziau pastangu manau'
'ir tarimas daug lengviau ateina'
'kaip idomiai &colon;D'
'o ka mokotes per sokiu treniruotes? &colon;D isvis neisivaizduoju'
'is sok su manimi gal'
'&colon;DD isivaizduoju, nei Salciute kokia'
'kodel nustojai?'
'blemba kaip lievai'
'daug pasiekus buvai jau kaip suprantu?'
'del to man patinka matematika &colon;D nera jokio subjektyvumo, objektyvu viskas'
'oho, net nebuciau pagalvojes kad taip yra'
'nu jo visada atsiras kazkas geresnis &colon;D kai tiek zmoniu siekia but geriausiais'
'to stalo tenisas mane ismoke, kad ir koks geras atrodo esi, visada kazkas geresnis bus'
'tevai norejo gal sportininkes is taves? &colon;D'
'siaip reiktu man eit miegot nes ryt visa diena vel uzimta ir anksti keltis &colon;D'
'laabas, gal siandien vakare neuzsiemusi ir noretum kavos?'
'nieko nesuprantu apie masinas, tai negaleciau padet &colon;D po islaikymo gal tik pora kart vairavau'
'jei nori galim susitikt Sekmadieni, ryt uzsiemes as'
'man visai patikdavo irgi, tik Anglijoj neprireike niekada'
'ir kaire puse dar per daug streso vaziuot butu jauciu &colon;D'
'man joga visai patiko kiek esu dares, bet tas variantas kur labiau kaip sportas, o ne kvepavimo pratimai ir mantros, per daug ezoterijos man ten jau'
'man savaitgali tinka, tureciau but Vilniuj'
'&colon;DD liuks, galvojau patinka vairuoti tau'
'o ka veikiat Nidoj? nesu buves, bet girdejau kad grazu ten labai'
'ai gerai as &colon;D smagu cia Vilniuj, bet darbe daug dirbt reikia, tai mazai turiu laisvo laiko'
'per vasara praktikuojuosi cia tik, bet full time aha'
'tik Londono laiku vyksta darbas, tai dar maziau laiko vakare lieka &colon;D'
'siaip nors ir maziau laiko turiu, bet padarau beveik tiek pat kaip nedirbdamas&colon;D'
'daugiau motyvacijos kazka nuveikt buna kai to laiko maziau'
'Parkinsono desnis yra toks jei teko girdet, sako, kad dalykai uzima tiek laiko, kiek jiem skiri, tai manau cia tas prisitaiko'
'ir siaip 4 sav beliko tik, o po to 2 menesiai atsiilset i valias iki mokslu'
'jo tiesa &colon;&sol; atrodo ka tik grizau i Lietuva, o jau pusantro men'
'planavau siaip drauga vaziuot i Stokholma aplankyt, bet ne kaip ten svedam su virusu kiek zinau &colon;d'
'o siaip tai jauciu rugseji kazkur po Europa pavazinet reiks'
'nes nelabai yra skrydziu kur kitur jauciu ir nelabai atsakinga butu'
'o pati ka veiksi iki rugsejo?'
'oho kietai &colon;D kokia stovykla cia?'
'kazkur girdetas aha &colon;D ziauriai kuul'
'kada grizti is Nidos siaip? Jei dar susitikt noretum'
'&colon;DDD atsargiai taip prie vairo'
'as darbo dienom iki 20-21h kazkur dirbu, tai po to nebent galeciau'
'o sekmadieni antroj dienos pusej gal geriau butu, nes galvoju gal ryt i palanga vaziuot is ryto ir sekm grizt'
'liuks, kokia 5-6h tiktu tau?'
'nebeisvariau, neradau kur apsistot &colon;D'
'gal buvo naivu is tikruju tiketis kad ieskant diena pries rasiu kazka'
'bet gal kita savaitgali iseis'
'siaip nenaudoju socialiniu mediju isskyrus linkedin &colon;D'
'anksciau naudodavau visai, bet issitryniau viska &colon;D messengeri del kontaktu laikau'
'nu jo, bet siaip nieko pries tai neturiu &colon;D tiesiog ne man'
'studijuoji menus 100%'
'patarimas is sirdies'
'prasau paaiskinti savo bio, skaiciau 5 kartus ir vis tiek nesupratau'
'nu reik paziuret tada the office kad kita karta taip neprasimesciau'
'galvojau iki 2 ryto, noreciau pasiaiskinti del bio, nes niekaip mesuprantu. Kodel negalima daryt abieju dalyku? Vienas kitam nepriestarauja'
'prasau paaiskinti'
'gyvenimo ismintis'
'sako sako, Jokeris cituoja liaudies isminti'
'ai nu jo tada ir as juokciausi'
'kodel tau ant galvos taskas  nuotraukoj lauke, galvojau iki 2 ryto ir vis tiek nesuprantu'
'paswipinau i desine del muzikos skonio'
'Liar'
'I&apos;m smart'
'Cytosis and mitosis'
'*I&apos;m'
'Me gusta tus ojos y figura. jaja ;&rpar;'
'Hola Julie. Me gusta tus ojos y tu piel.'
'Hola Jacy. Me gusta tus ojos y tu piel.'
'Hola Mariana. Me gusta tus ojos y tus labios.'
'Hola Andreina. Me gusta tus labios y tus ojos.'
'Hola Kiara. Me gusta tus ojos y tus labios.'
'Hola Mayra. Me gusta tus ojos y tus trajes.'
'Me gusta tus ojos y sonrisa.'
'Hola Dinora. Me gusta tus ojos y tus labios.'
'Me gustan tus ojos. 😜'
'Hola Xiomara. Me gusta tus ojos y tu piel. 😜'
'Me gusta tus ojos. Jaja 😜'
'Hola Sandra. Me gusta tus ojos y tu piel. 😜'
'Hola Patricia. Me gusta tus ojos y tu piel. 😜'
'Me gusta tus ojos. 😜'
'Me gusta tus ojos y tu look.'
'Hola Celia. Me gusta tus ojos.'
'Hola Irina. Me gusta tus ojos'
'Hola Lia. Me gusta tus ojos.'
'Hola Laura. Me gustan tus ojos.'
'Hola Deby. Me gusta tus ojos.'
'Jajaja gracias Andrea'
'Adios.'
'Wow sus ojos me impactan. 😂🤣'
'Lit'
'Ur bios'
'I&rsquo;m like antman'
'Skyrim 😍'
'I&apos;m busy tonight I&apos;m afraid😩x'
'Yes but it&apos;s a joke'
'E lo sai bene 😉'
'E lo sai bene 😉'
'146km??'
'Vai 😉'
'Vodka meglio? 😈'
'Tipo 20 minuti 😉'
'Amo San pietroburgo 😍'
'Ciai'
'*albarino'
'Valdovino'
'Studiavo ormai 😂'
'Quindi tu vivi a Bergamo Bergamo? 😊'
'Va benissimo! 😉'
'Tu sarai a milano giusto?'
'Devo aver paura?'
'Va benissimo'
'Qua misuriamo 1 metro'
'Tu vivi a Milano giusto?'
'Tu sei di Pavia Pavia?'
'Va benissimo 😉😘'
'E via'
'*vino'
'*vino'
'Beviamo'
'Tuo IG?'
'Per me va benissimo 😊'
'Vino'
'Studiavo'
'Va benissimo 😊'
'Tengo mi propio bar. '
'Or maybe I&apos;m just naive'
'I&apos;m kinda jealous 🤔'
'Onksul nuotio siel'
'Kiitos kaunis'
'😂 It&apos;s a joke'
'Voi piru'
'I&rsquo;m *'
'Grip?'
'Blink. Links.'
'#audioslave'
'I&rsquo;m like “lmao, your nose?&rdquo;'
'Paris?'
'Anytime 😂'
'Anytime.'
'Ouais 💁 mais tkt'
'J&apos;aime pas lire'
'Bah je suis un virtuose'
'Pas grave tu sais nager'
'J&apos;ai pas vu Aladdin je crois'
'Tu sais même pas où je vis 🤭'
'Et tu y vis je suppose?'
'J&apos;ai pas les mots, je suis subjugué'
'I&apos;m fine'
'Trop rapide'
'Je m&apos;y attendais pas 😌'
'Yes I&apos;m in bari'
'I&apos;m so bad'
'So I&apos;m kinda stuck home'
'J&apos;vais te retrouver'
'Et j&apos;en ferais jamais'
'Vraiment'
'J&apos;ai pas la ref'
'T&apos;y jouais ou juste tu regardais? 😂'
'J&apos;vais t&apos;appeler Milady maintenant'
'Link le'
'Je t&apos;ajoute'
'J&apos;ai pas verif'
'Traite pas les Kakapo stp'
'Je vais*'
'Si j&apos;avais des Kinder pingui, je sais pas si je partagerai'
'Ptdr j&apos;ai pas Spotify'
'tu vas revenir dans ta position initiale'
'Mtn j&apos;vais a casino en vrai'
'Je sais pas mer'
'oui mais j&apos;aime pas cz'
'j&apos;aime pas ça'
'j&apos;aime pas danser'
'Après je vais dormir'
'j&apos;vais te balayer'
'T&apos;as raison 😳'
'I&rsquo;m not up on my emoji game'
'Taurus?'
'I&rsquo;m in NM, if you&rsquo;d like to visit'
'Si, todos lo tips jaja'
'Lima?'
'Like 6&rsquo;'
'But like you said it&rsquo;s sugary'
'Lol I&rsquo;m kinda boring'
'It&rsquo;s “@tiktoktips&rdquo; 😂'
'😂 jk I&rsquo;m ugly'
'I&rsquo;m not jealous anymore'
'I&rsquo;m 99% sure it&rsquo;s a stink bug'
'Lil'
'I&rsquo;m ok'
'I&rsquo;m okay'
'I&rsquo;m at like 2 months almost'
'I&rsquo;m kinda boring'
'Lmao as a “bonus surprise&rdquo;?'
'Us drinks'
'Idk. I&apos;m drunk.'
'I&apos;m super drunk'
'Ok I&apos;ll lyk'
'Ok I&apos;m madi'
'I&apos;m a Sagittarius ♐'
'Javas?'
'I&apos;m ok'
'tutorials'
'rip 🙁'
'I&apos;m very bad 🙁'
'rip same as my roomie'
'same as prison'
'he&apos;d stink irl'
'so no drinks 4 me'
'damn a virgin'
'sushi also tasty'
'australian?'
